x: 11011100 220  y: 11011100 250
x: 11101110 238  y: 11101110 57
x: 10110001 177  y: 10110001 35
x: 10110011 179  y: 10110011 216
x: 00111110 62  y: 00111110 218
x: 00011000 24  y: 00011000 127
x: 11001101 205  y: 11001101 20
x: 01010100 84  y: 01010100 190
x: 00011110 30  y: 00011110 187
x: 00010010 18  y: 00010010 206
x: 00100111 39  y: 00100111 232
x: 00101001 41  y: 00101001 123
x: 00110110 54  y: 00110110 193
x: 10100110 166  y: 10100110 130
x: 01110101 117  y: 01110101 120
x: 00000110 6  y: 00000110 24
x: 01001100 76  y: 01001100 77
x: 00100000 32  y: 00100000 198
x: 01010010 82  y: 01010010 202
x: 11000001 193  y: 11000001 131
x: 11001010 202  y: 11001010 240
x: 10111101 189  y: 10111101 106
x: 11001101 205  y: 11001101 146
x: 00110110 54  y: 00110110 67
x: 10101011 171  y: 10101011 53
x: 11100100 228  y: 11100100 6
x: 10001001 137  y: 10001001 39
x: 01101010 106  y: 01101010 241
x: 10100100 164  y: 10100100 49
x: 10101110 174  y: 10101110 68
x: 11010100 212  y: 11010100 212
x: 01000101 69  y: 01000101 229
x: 01010010 82  y: 01010010 100
x: 10100110 166  y: 10100110 171
x: 00011110 30  y: 00011110 202
x: 00110110 54  y: 00110110 107
x: 01100000 96  y: 01100000 122
x: 10101110 174  y: 10101110 72
x: 11111111 255  y: 11111111 48
x: 00010001 17  y: 00010001 141
x: 00101010 42  y: 00101010 14
x: 01000101 69  y: 01000101 218
x: 01010000 80  y: 01010000 39
x: 01001101 77  y: 01001101 22
x: 01011110 94  y: 01011110 83
x: 01000100 68  y: 01000100 143
x: 01010100 84  y: 01010100 2
x: 10101011 171  y: 10101011 102
x: 11001011 203  y: 11001011 144
x: 01001101 77  y: 01001101 121
x: 01110101 117  y: 01110101 25
x: 10100111 167  y: 10100111 176
x: 01101101 109  y: 01101101 87
x: 10011001 153  y: 10011001 135
x: 11110000 240  y: 11110000 182
x: 00100001 33  y: 00100001 93
x: 11000101 197  y: 11000101 252
x: 00011001 25  y: 00011001 255
x: 10011111 159  y: 10011111 199
x: 10111110 190  y: 10111110 46
x: 01001000 72  y: 01001000 160
x: 01111000 120  y: 01111000 185
x: 00001111 15  y: 00001111 106
x: 11010110 214  y: 11010110 39
x: 10101010 170  y: 10101010 6
x: 10011110 158  y: 10011110 159
x: 01111001 121  y: 01111001 30
x: 11011001 217  y: 11011001 236
x: 00000110 6  y: 00000110 239
x: 00001100 12  y: 00001100 139
x: 00110001 49  y: 00110001 123
x: 00110001 49  y: 00110001 244
x: 11000101 197  y: 11000101 96
x: 00110011 51  y: 00110011 233
x: 11101100 236  y: 11101100 103
x: 00100111 39  y: 00100111 139
x: 11001010 202  y: 11001010 145
x: 00001110 14  y: 00001110 64
x: 01100110 102  y: 01100110 185
x: 11101111 239  y: 11101111 207
x: 00001000 8  y: 00001000 128
x: 10010011 147  y: 10010011 204
x: 00110111 55  y: 00110111 161
x: 11110100 244  y: 11110100 186
x: 01111000 120  y: 01111000 22
x: 10101100 172  y: 10101100 82
x: 10100001 161  y: 10100001 77
x: 11010001 209  y: 11010001 231
x: 01111111 127  y: 01111111 79
x: 11000110 198  y: 11000110 159
x: 00100011 35  y: 00100011 190
x: 00110011 51  y: 00110011 158
x: 10000100 132  y: 10000100 252
x: 11010010 210  y: 11010010 104
x: 11111100 252  y: 11111100 168
x: 01100101 101  y: 01100101 82
x: 11100101 229  y: 11100101 96
x: 00111010 58  y: 00111010 164
x: 11001100 204  y: 11001100 253
x: 01111001 121  y: 01111001 77
x: 10111010 186  y: 10111010 54
x: 00100010 34  y: 00100010 77
x: 10011001 153  y: 10011001 6
x: 10011101 157  y: 10011101 218
x: 01001000 72  y: 01001000 22
x: 11100011 227  y: 11100011 106
x: 00100011 35  y: 00100011 191
x: 10101110 174  y: 10101110 139
x: 00101101 45  y: 00101101 92
x: 00110001 49  y: 00110001 22
x: 01011111 95  y: 01011111 229
x: 00101011 43  y: 00101011 185
x: 01111001 121  y: 01111001 61
x: 01010111 87  y: 01010111 198
x: 10010101 149  y: 10010101 197
x: 01000100 68  y: 01000100 135
x: 00010001 17  y: 00010001 74
x: 00000100 4  y: 00000100 160
x: 01011000 88  y: 01011000 163
x: 11111000 248  y: 11111000 178
x: 00100100 36  y: 00100100 72
x: 00111111 63  y: 00111111 225
x: 11101101 237  y: 11101101 133
x: 00010011 19  y: 00010011 144
x: 01001001 73  y: 01001001 34
x: 01001111 79  y: 01001111 183
x: 00001100 12  y: 00001100 165
x: 10010010 146  y: 10010010 49
x: 11001101 205  y: 11001101 158
x: 00001000 8  y: 00001000 239
x: 10101110 174  y: 10101110 232
x: 10111010 186  y: 10111010 41
x: 11111110 254  y: 11111110 203
x: 10000001 129  y: 10000001 23
x: 10110110 182  y: 10110110 154
x: 10001001 137  y: 10001001 227
x: 01000010 66  y: 01000010 112
x: 01100001 97  y: 01100001 7
x: 10011001 153  y: 10011001 45
x: 10110010 178  y: 10110010 116
x: 01100011 99  y: 01100011 240
x: 00000001 1  y: 00000001 90
x: 10101100 172  y: 10101100 12
x: 10111111 191  y: 10111111 69
x: 10001101 141  y: 10001101 165
x: 00010101 21  y: 00010101 65
x: 11000000 192  y: 11000000 33
x: 10110010 178  y: 10110010 141
x: 10110010 178  y: 10110010 34
x: 00100101 37  y: 00100101 82
x: 10111011 187  y: 10111011 151
x: 01111011 123  y: 01111011 11
x: 01111000 120  y: 01111000 179
x: 01101110 110  y: 01101110 126
x: 11111011 251  y: 11111011 228
x: 11100011 227  y: 11100011 16
x: 01110101 117  y: 01110101 207
x: 00010011 19  y: 00010011 236
x: 11101100 236  y: 11101100 86
x: 01100100 100  y: 01100100 82
x: 01100111 103  y: 01100111 149
x: 01101100 108  y: 01101100 106
x: 00101101 45  y: 00101101 171
x: 01101001 105  y: 01101001 33
x: 10011001 153  y: 10011001 36
x: 01001010 74  y: 01001010 37
x: 01111111 127  y: 01111111 121
x: 10000100 132  y: 10000100 7
x: 10110001 177  y: 10110001 30
x: 10111110 190  y: 10111110 95
x: 00001001 9  y: 00001001 210
x: 11000001 193  y: 11000001 237
x: 11110111 247  y: 11110111 212
x: 11010100 212  y: 11010100 127
x: 11011100 220  y: 11011100 248
x: 01100010 98  y: 01100010 144
x: 10000001 129  y: 10000001 26
x: 01101100 108  y: 01101100 53
x: 10101101 173  y: 10101101 59
x: 00110000 48  y: 00110000 96
x: 11100011 227  y: 11100011 217
x: 11101010 234  y: 11101010 139
x: 10110111 183  y: 10110111 107
x: 01101001 105  y: 01101001 134
x: 10111100 188  y: 10111100 191
x: 10100000 160  y: 10100000 56
x: 10111110 190  y: 10111110 173
x: 01101111 111  y: 01101111 132
x: 11101010 234  y: 11101010 45
x: 10000000 128  y: 10000000 122
x: 10001000 136  y: 10001000 91
x: 01001011 75  y: 01001011 251
x: 01001101 77  y: 01001101 55
x: 11011100 220  y: 11011100 70
x: 01101011 107  y: 01101011 19
x: 01101010 106  y: 01101010 133
x: 10001011 139  y: 10001011 99
x: 10000110 134  y: 10000110 249
x: 11010011 211  y: 11010011 182
x: 11001011 203  y: 11001011 75
x: 10001001 137  y: 10001001 169
x: 00000111 7  y: 00000111 169
x: 00110011 51  y: 00110011 6
x: 00000111 7  y: 00000111 63
x: 10010111 151  y: 10010111 234
x: 00011111 31  y: 00011111 246
x: 10010101 149  y: 10010101 80
x: 11010100 212  y: 11010100 226
x: 10110100 180  y: 10110100 204
x: 10111100 188  y: 10111100 11
x: 01110010 114  y: 01110010 196
x: 11101111 239  y: 11101111 156
x: 10101101 173  y: 10101101 20
x: 01101010 106  y: 01101010 111
x: 11111100 252  y: 11111100 50
x: 01011100 92  y: 01011100 55
x: 01011101 93  y: 01011101 82
x: 10111000 184  y: 10111000 126
x: 10100110 166  y: 10100110 24
x: 01100111 103  y: 01100111 14
x: 00000111 7  y: 00000111 173
x: 10101111 175  y: 10101111 201
x: 11000111 199  y: 11000111 68
x: 11001010 202  y: 11001010 121
x: 00101000 40  y: 00101000 112
x: 00110000 48  y: 00110000 19
x: 00010011 19  y: 00010011 183
x: 11011100 220  y: 11011100 130
x: 11011000 216  y: 11011000 239
x: 01101111 111  y: 01101111 207
x: 11101000 232  y: 11101000 214
x: 01010001 81  y: 01010001 32
x: 01000111 71  y: 01000111 169
x: 10011010 154  y: 10011010 125
x: 11110111 247  y: 11110111 226
x: 00011011 27  y: 00011011 224
x: 01101111 111  y: 01101111 130
x: 10011010 154  y: 10011010 59
x: 00001000 8  y: 00001000 164
x: 00011110 30  y: 00011110 174
x: 11111010 250  y: 11111010 104
x: 01111000 120  y: 01111000 24
x: 11010111 215  y: 11010111 108
x: 11001110 206  y: 11001110 129
x: 00000101 5  y: 00000101 111
x: 01111000 120  y: 01111000 240
x: 00001001 9  y: 00001001 236
x: 01110101 117  y: 01110101 94
x: 10001000 136  y: 10001000 74
x: 01010110 86  y: 01010110 2
x: 11000111 199  y: 11000111 206
x: 01100001 97  y: 01100001 133
x: 11000010 194  y: 11000010 119
x: 10100111 167  y: 10100111 82
x: 00101010 42  y: 00101010 18
x: 11101101 237  y: 11101101 12
x: 11000000 192  y: 11000000 68
x: 00010111 23  y: 00010111 10
x: 10101110 174  y: 10101110 169
x: 11010000 208  y: 11010000 80
x: 10011100 156  y: 10011100 161
x: 01111100 124  y: 01111100 230
x: 00110010 50  y: 00110010 164
x: 10011010 154  y: 10011010 218
x: 10100001 161  y: 10100001 67
x: 11000010 194  y: 11000010 195
x: 00011000 24  y: 00011000 53
x: 01110000 112  y: 01110000 123
x: 00000011 3  y: 00000011 231
x: 01100101 101  y: 01100101 247
x: 01010001 81  y: 01010001 149
x: 11001000 200  y: 11001000 20
x: 00011011 27  y: 00011011 122
x: 00000110 6  y: 00000110 203
x: 01000101 69  y: 01000101 199
x: 11000000 192  y: 11000000 239
x: 00100000 32  y: 00100000 134
x: 01010001 81  y: 01010001 197
x: 00011001 25  y: 00011001 229
x: 00000000 0  y: 00000000 163
x: 01110110 118  y: 01110110 150
x: 10110001 177  y: 10110001 167
x: 11101011 235  y: 11101011 176
x: 00001010 10  y: 00001010 161
x: 00111011 59  y: 00111011 65
x: 10110011 179  y: 10110011 216
x: 01110101 117  y: 01110101 181
x: 00101110 46  y: 00101110 94
x: 00101001 41  y: 00101001 149
x: 01011101 93  y: 01011101 175
x: 10000000 128  y: 10000000 188
x: 11001011 203  y: 11001011 135
x: 01011101 93  y: 01011101 80
x: 01000011 67  y: 01000011 30
x: 11101101 237  y: 11101101 131
x: 11101111 239  y: 11101111 116
x: 10101110 174  y: 10101110 143
x: 01110010 114  y: 01110010 237
x: 00101110 46  y: 00101110 184
x: 01010111 87  y: 01010111 65
x: 11110011 243  y: 11110011 250
x: 11101110 238  y: 11101110 196
x: 01011000 88  y: 01011000 101
x: 10110000 176  y: 10110000 49
x: 01010001 81  y: 01010001 221
x: 00100000 32  y: 00100000 218
x: 11010010 210  y: 11010010 194
x: 00010010 18  y: 00010010 129
x: 01111101 125  y: 01111101 206
x: 11001001 201  y: 11001001 46
x: 01111111 127  y: 01111111 32
x: 10100111 167  y: 10100111 6
x: 10000010 130  y: 10000010 28
x: 01101000 104  y: 01101000 56
x: 00100010 34  y: 00100010 74
x: 10101001 169  y: 10101001 39
x: 00100111 39  y: 00100111 187
x: 01011011 91  y: 01011011 27
x: 10011101 157  y: 10011101 111
x: 00001110 14  y: 00001110 225
x: 00100110 38  y: 00100110 136
x: 11010010 210  y: 11010010 51
x: 10111000 184  y: 10111000 162
x: 10001101 141  y: 10001101 220
x: 10110110 182  y: 10110110 19
x: 00100101 37  y: 00100101 73
x: 00000101 5  y: 00000101 34
x: 10011100 156  y: 10011100 132
x: 10011010 154  y: 10011010 76
x: 10010001 145  y: 10010001 171
x: 00111011 59  y: 00111011 2
x: 01100101 101  y: 01100101 20
x: 11010100 212  y: 11010100 220
x: 10110110 182  y: 10110110 73
x: 10111100 188  y: 10111100 92
x: 10110010 178  y: 10110010 81
x: 11010110 214  y: 11010110 154
x: 11011001 217  y: 11011001 140
x: 01001001 73  y: 01001001 63
x: 11000101 197  y: 11000101 150
x: 10000111 135  y: 10000111 164
x: 10111110 190  y: 10111110 68
x: 01101011 107  y: 01101011 195
x: 11110011 243  y: 11110011 138
x: 00010011 19  y: 00010011 16
x: 00011111 31  y: 00011111 141
x: 00010101 21  y: 00010101 111
x: 11100001 225  y: 11100001 228
x: 01000100 68  y: 01000100 131
x: 00111110 62  y: 00111110 51
x: 00100110 38  y: 00100110 165
x: 10011100 156  y: 10011100 192
x: 11011001 217  y: 11011001 123
x: 10111101 189  y: 10111101 8
x: 10000110 134  y: 10000110 5
x: 10101011 171  y: 10101011 9
x: 01001011 75  y: 01001011 143
x: 10000011 131  y: 10000011 177
x: 01111110 126  y: 01111110 45
x: 01110100 116  y: 01110100 69
x: 01001110 78  y: 01001110 211
x: 11011101 221  y: 11011101 213
x: 01010011 83  y: 01010011 50
x: 10100011 163  y: 10100011 218
x: 01010000 80  y: 01010000 18
x: 00011111 31  y: 00011111 18
x: 00011001 25  y: 00011001 207
x: 01010101 85  y: 01010101 59
x: 01001101 77  y: 01001101 243
x: 00111110 62  y: 00111110 5
x: 11011000 216  y: 11011000 27
x: 01000011 67  y: 01000011 183
x: 10110011 179  y: 10110011 198
x: 01100110 102  y: 01100110 80
x: 01101011 107  y: 01101011 163
x: 01010010 82  y: 01010010 40
x: 11100111 231  y: 11100111 164
x: 10011101 157  y: 10011101 171
x: 10010100 148  y: 10010100 52
x: 11010111 215  y: 11010111 118
x: 10010101 149  y: 10010101 201
x: 10101010 170  y: 10101010 42
x: 11001001 201  y: 11001001 55
x: 00010101 21  y: 00010101 244
x: 00100011 35  y: 00100011 83
x: 00011111 31  y: 00011111 148
x: 11111000 248  y: 11111000 36
x: 01000000 64  y: 01000000 134
x: 11101010 234  y: 11101010 83
x: 01011000 88  y: 01011000 237
x: 01100010 98  y: 01100010 218
x: 00110100 52  y: 00110100 136
x: 00010110 22  y: 00010110 201
x: 11100001 225  y: 11100001 102
x: 01111010 122  y: 01111010 192
x: 01001110 78  y: 01001110 129
x: 10111101 189  y: 10111101 7
x: 10100011 163  y: 10100011 48
x: 10101010 170  y: 10101010 138
x: 11000100 196  y: 11000100 119
x: 10010011 147  y: 10010011 155
x: 10100101 165  y: 10100101 223
x: 10011100 156  y: 10011100 218
x: 11001010 202  y: 11001010 52
x: 10011000 152  y: 10011000 26
x: 01100100 100  y: 01100100 25
x: 01111111 127  y: 01111111 189
x: 01101111 111  y: 01101111 213
x: 01001100 76  y: 01001100 73
x: 00010100 20  y: 00010100 166
x: 10101011 171  y: 10101011 216
x: 10000001 129  y: 10000001 78
x: 01101100 108  y: 01101100 130
x: 00111011 59  y: 00111011 155
x: 10111110 190  y: 10111110 14
x: 00110110 54  y: 00110110 109
x: 01110001 113  y: 01110001 55
x: 10011000 152  y: 10011000 188
x: 00010000 16  y: 00010000 138
x: 10100001 161  y: 10100001 124
x: 01011101 93  y: 01011101 27
x: 11100001 225  y: 11100001 132
x: 11111101 253  y: 11111101 190
x: 00001110 14  y: 00001110 16
x: 01000100 68  y: 01000100 15
x: 10111000 184  y: 10111000 114
x: 00100100 36  y: 00100100 94
x: 00111001 57  y: 00111001 104
x: 11100100 228  y: 11100100 196
x: 01100000 96  y: 01100000 237
x: 00100000 32  y: 00100000 1
x: 00000000 0  y: 00000000 106
x: 11100001 225  y: 11100001 223
x: 01101011 107  y: 01101011 162
x: 10000110 134  y: 10000110 207
x: 01100001 97  y: 01100001 104
x: 10110110 182  y: 10110110 81
x: 00101111 47  y: 00101111 144
x: 00100001 33  y: 00100001 169
x: 11010110 214  y: 11010110 34
x: 01110011 115  y: 01110011 173
x: 00011011 27  y: 00011011 52
x: 10011000 152  y: 10011000 74
x: 10100010 162  y: 10100010 94
x: 10110001 177  y: 10110001 163
x: 01011101 93  y: 01011101 249
x: 11101110 238  y: 11101110 122
x: 01111011 123  y: 01111011 107
x: 00010010 18  y: 00010010 17
x: 10111111 191  y: 10111111 84
x: 01000011 67  y: 01000011 80
x: 10001010 138  y: 10001010 138
x: 10100101 165  y: 10100101 113
x: 11100111 231  y: 11100111 116
x: 10111001 185  y: 10111001 207
x: 01111011 123  y: 01111011 174
x: 00010001 17  y: 00010001 245
x: 10011110 158  y: 10011110 81
x: 10000010 130  y: 10000010 254
x: 10001111 143  y: 10001111 159
x: 11101001 233  y: 11101001 55
x: 11000010 194  y: 11000010 79
x: 00111101 61  y: 00111101 158
x: 11000011 195  y: 11000011 242
x: 10010110 150  y: 10010110 35
x: 00111011 59  y: 00111011 100
x: 00011101 29  y: 00011101 253
x: 01101010 106  y: 01101010 44
x: 10100101 165  y: 10100101 42
x: 11101111 239  y: 11101111 159
x: 11110110 246  y: 11110110 147
x: 00110010 50  y: 00110010 187
x: 00110001 49  y: 00110001 174
x: 00100010 34  y: 00100010 228
x: 10101010 170  y: 10101010 74
x: 11111010 250  y: 11111010 191
x: 10100101 165  y: 10100101 179
x: 10011011 155  y: 10011011 172
x: 10001001 137  y: 10001001 79
x: 11100010 226  y: 11100010 23
x: 11011001 217  y: 11011001 67
x: 10001000 136  y: 10001000 246
x: 00101001 41  y: 00101001 145
x: 10101101 173  y: 10101101 175
x: 00100110 38  y: 00100110 0
x: 10110101 181  y: 10110101 252
x: 10100110 166  y: 10100110 156
x: 10110101 181  y: 10110101 67
x: 10101000 168  y: 10101000 110
x: 00000101 5  y: 00000101 136
x: 11101101 237  y: 11101101 132
x: 01111011 123  y: 01111011 54
x: 11110001 241  y: 11110001 166
x: 01011111 95  y: 01011111 219
x: 01000111 71  y: 01000111 217
x: 10110011 179  y: 10110011 23
x: 00000110 6  y: 00000110 74
x: 00011100 28  y: 00011100 220
x: 01100011 99  y: 01100011 16
x: 01011110 94  y: 01011110 117
x: 00000000 0  y: 00000000 250
x: 00111000 56  y: 00111000 46
x: 11101101 237  y: 11101101 4
x: 11001001 201  y: 11001001 16
x: 11100101 229  y: 11100101 177
x: 10110010 178  y: 10110010 225
x: 01101001 105  y: 01101001 246
x: 10010001 145  y: 10010001 153
x: 00011001 25  y: 00011001 147
x: 01001011 75  y: 01001011 63
x: 10100100 164  y: 10100100 19
x: 00010010 18  y: 00010010 149
x: 00001011 11  y: 00001011 55
x: 01001101 77  y: 01001101 11
x: 01111100 124  y: 01111100 34
x: 01111011 123  y: 01111011 157
x: 11111010 250  y: 11111010 253
x: 00000111 7  y: 00000111 115
x: 11010111 215  y: 11010111 158
x: 10100110 166  y: 10100110 235
x: 01100100 100  y: 01100100 157
x: 01100010 98  y: 01100010 108
x: 11010101 213  y: 11010101 72
x: 11011101 221  y: 11011101 92
x: 11101101 237  y: 11101101 129
x: 01001000 72  y: 01001000 133
x: 10000001 129  y: 10000001 210
x: 10101010 170  y: 10101010 27
x: 10011001 153  y: 10011001 230
x: 10000000 128  y: 10000000 212
x: 10111101 189  y: 10111101 214
x: 10011011 155  y: 10011011 229
x: 10010001 145  y: 10010001 88
x: 10001010 138  y: 10001010 211
x: 00100100 36  y: 00100100 228
x: 01110101 117  y: 01110101 126
x: 01000001 65  y: 01000001 161
x: 10001111 143  y: 10001111 147
x: 01010101 85  y: 01010101 105
x: 01000111 71  y: 01000111 91
x: 10100011 163  y: 10100011 93
x: 01110111 119  y: 01110111 125
x: 00001001 9  y: 00001001 245
x: 00001000 8  y: 00001000 49
x: 01011111 95  y: 01011111 9
x: 00010001 17  y: 00010001 104
x: 10101101 173  y: 10101101 18
x: 00101001 41  y: 00101001 170
x: 00111001 57  y: 00111001 201
x: 00111001 57  y: 00111001 187
x: 10011111 159  y: 10011111 198
x: 00101000 40  y: 00101000 126
x: 01011000 88  y: 01011000 237
x: 01110111 119  y: 01110111 81
x: 11101000 232  y: 11101000 129
x: 00100000 32  y: 00100000 17
x: 11010000 208  y: 11010000 240
x: 10001001 137  y: 10001001 38
x: 00001101 13  y: 00001101 33
x: 10111111 191  y: 10111111 231
x: 00000001 1  y: 00000001 23
x: 01111101 125  y: 01111101 197
x: 10011110 158  y: 10011110 74
x: 10010101 149  y: 10010101 201
x: 10111011 187  y: 10111011 58
x: 01110100 116  y: 01110100 218
x: 00111001 57  y: 00111001 102
x: 01111010 122  y: 01111010 94
x: 01000111 71  y: 01000111 121
x: 11011100 220  y: 11011100 229
x: 00111100 60  y: 00111100 229
x: 10011010 154  y: 10011010 194
x: 01001101 77  y: 01001101 19
x: 11001111 207  y: 11001111 0
x: 11000111 199  y: 11000111 170
x: 10011110 158  y: 10011110 119
x: 01000000 64  y: 01000000 81
x: 10011111 159  y: 10011111 215
x: 10101011 171  y: 10101011 244
x: 00110100 52  y: 00110100 23
x: 00011010 26  y: 00011010 238
x: 11000001 193  y: 11000001 5
x: 11111111 255  y: 11111111 76
x: 00111110 62  y: 00111110 245
x: 10101010 170  y: 10101010 172
x: 11000011 195  y: 11000011 227
x: 11110111 247  y: 11110111 25
x: 00110111 55  y: 00110111 1
x: 11000000 192  y: 11000000 128
x: 11100000 224  y: 11100000 248
x: 01110101 117  y: 01110101 24
x: 01101110 110  y: 01101110 94
x: 01111111 127  y: 01111111 33
x: 10101101 173  y: 10101101 33
x: 11100110 230  y: 11100110 14
x: 01001100 76  y: 01001100 132
x: 10110010 178  y: 10110010 127
x: 11010100 212  y: 11010100 88
x: 01000010 66  y: 01000010 188
x: 01100000 96  y: 01100000 142
x: 01010001 81  y: 01010001 200
x: 10111100 188  y: 10111100 2
x: 10101111 175  y: 10101111 142
x: 01000011 67  y: 01000011 84
x: 10110110 182  y: 10110110 31
x: 10010111 151  y: 10010111 11
x: 01010111 87  y: 01010111 236
x: 01110001 113  y: 01110001 30
x: 10001111 143  y: 10001111 250
x: 01000001 65  y: 01000001 5
x: 10011010 154  y: 10011010 116
x: 11110110 246  y: 11110110 209
x: 11110110 246  y: 11110110 189
x: 10110011 179  y: 10110011 162
x: 01100111 103  y: 01100111 105
x: 10010010 146  y: 10010010 194
x: 00100000 32  y: 00100000 22
x: 11111110 254  y: 11111110 105
x: 10111000 184  y: 10111000 70
x: 00011000 24  y: 00011000 48
x: 01110101 117  y: 01110101 98
x: 11001000 200  y: 11001000 8
x: 00001100 12  y: 00001100 101
x: 11111111 255  y: 11111111 17
x: 00001000 8  y: 00001000 21
x: 00110010 50  y: 00110010 248
x: 00011100 28  y: 00011100 88
x: 01010010 82  y: 01010010 123
x: 10011100 156  y: 10011100 139
x: 00001100 12  y: 00001100 97
x: 00111000 56  y: 00111000 42
x: 00000001 1  y: 00000001 211
x: 00110011 51  y: 00110011 177
x: 11101011 235  y: 11101011 109
x: 10101010 170  y: 10101010 160
x: 00111010 58  y: 00111010 196
x: 01010011 83  y: 01010011 234
x: 00111110 62  y: 00111110 2
x: 10110101 181  y: 10110101 35
x: 10000011 131  y: 10000011 95
x: 11100001 225  y: 11100001 137
x: 10000011 131  y: 10000011 81
x: 00001011 11  y: 00001011 45
x: 00110111 55  y: 00110111 237
x: 10000100 132  y: 10000100 19
x: 00001001 9  y: 00001001 237
x: 10010101 149  y: 10010101 44
x: 01000111 71  y: 01000111 41
x: 00110001 49  y: 00110001 160
x: 10100111 167  y: 10100111 170
x: 01111101 125  y: 01111101 216
x: 10001100 140  y: 10001100 134
x: 01001101 77  y: 01001101 234
x: 01011011 91  y: 01011011 181
x: 11110100 244  y: 11110100 182
x: 11001001 201  y: 11001001 182
x: 01101110 110  y: 01101110 93
x: 01001101 77  y: 01001101 149
x: 01010100 84  y: 01010100 168
x: 01011001 89  y: 01011001 79
x: 11100001 225  y: 11100001 109
x: 00110011 51  y: 00110011 68
x: 00001101 13  y: 00001101 138
x: 11111110 254  y: 11111110 177
x: 10101100 172  y: 10101100 40
x: 00011011 27  y: 00011011 200
x: 01100010 98  y: 01100010 1
x: 11001001 201  y: 11001001 2
x: 00100101 37  y: 00100101 73
x: 11100010 226  y: 11100010 77
x: 11011001 217  y: 11011001 191
x: 00100001 33  y: 00100001 222
x: 10100100 164  y: 10100100 250
x: 01111001 121  y: 01111001 105
x: 11000110 198  y: 11000110 7
x: 00011011 27  y: 00011011 242
x: 01000101 69  y: 01000101 153
x: 01001111 79  y: 01001111 198
x: 11100000 224  y: 11100000 43
x: 11110100 244  y: 11110100 191
x: 01101110 110  y: 01101110 149
x: 11101100 236  y: 11101100 69
x: 00000011 3  y: 00000011 155
x: 11000001 193  y: 11000001 124
x: 01101111 111  y: 01101111 130
x: 11111000 248  y: 11111000 3
x: 00101110 46  y: 00101110 156
x: 00100001 33  y: 00100001 161
x: 10011110 158  y: 10011110 49
x: 00010101 21  y: 00010101 5
x: 10100000 160  y: 10100000 74
x: 10000010 130  y: 10000010 148
x: 01011011 91  y: 01011011 183
x: 00110110 54  y: 00110110 151
x: 00111101 61  y: 00111101 92
x: 10000001 129  y: 10000001 88
x: 01000110 70  y: 01000110 157
x: 01110111 119  y: 01110111 150
x: 01001110 78  y: 01001110 135
x: 10010001 145  y: 10010001 247
x: 00101100 44  y: 00101100 133
x: 01101000 104  y: 01101000 143
x: 01101010 106  y: 01101010 135
x: 00000010 2  y: 00000010 73
x: 01111111 127  y: 01111111 52
x: 01010100 84  y: 01010100 49
x: 11111101 253  y: 11111101 127
x: 10110110 182  y: 10110110 64
x: 00010000 16  y: 00010000 138
x: 00110001 49  y: 00110001 245
x: 00111001 57  y: 00111001 9
x: 01111101 125  y: 01111101 248
x: 00100101 37  y: 00100101 176
x: 11000001 193  y: 11000001 16
x: 11100110 230  y: 11100110 139
x: 00010010 18  y: 00010010 161
x: 10110100 180  y: 10110100 180
x: 10000011 131  y: 10000011 127
x: 10001100 140  y: 10001100 138
x: 11001101 205  y: 11001101 154
x: 01101100 108  y: 01101100 227
x: 10100001 161  y: 10100001 62
x: 00100001 33  y: 00100001 131
x: 10010000 144  y: 10010000 226
x: 01100111 103  y: 01100111 250
x: 11110011 243  y: 11110011 130
x: 01010000 80  y: 01010000 124
x: 00001110 14  y: 00001110 146
x: 11000001 193  y: 11000001 127
x: 10110011 179  y: 10110011 120
x: 11111100 252  y: 11111100 238
x: 00011010 26  y: 00011010 71
x: 10110111 183  y: 10110111 232
x: 00110101 53  y: 00110101 58
x: 00111100 60  y: 00111100 64
x: 00110100 52  y: 00110100 144
x: 10011100 156  y: 10011100 89
x: 00101111 47  y: 00101111 78
x: 11101110 238  y: 11101110 187
x: 01001001 73  y: 01001001 127
x: 00111001 57  y: 00111001 223
x: 01001101 77  y: 01001101 149
x: 01100000 96  y: 01100000 108
x: 10100010 162  y: 10100010 238
x: 00111000 56  y: 00111000 115
x: 00001010 10  y: 00001010 101
x: 01000101 69  y: 01000101 247
x: 10111100 188  y: 10111100 118
x: 00000100 4  y: 00000100 239
x: 00001011 11  y: 00001011 191
x: 11100010 226  y: 11100010 154
x: 00100001 33  y: 00100001 10
x: 10000111 135  y: 10000111 135
x: 00110000 48  y: 00110000 173
x: 00100111 39  y: 00100111 65
x: 00100000 32  y: 00100000 157
x: 00111110 62  y: 00111110 3
x: 01101101 109  y: 01101101 250
x: 10001001 137  y: 10001001 104
x: 11001100 204  y: 11001100 15
x: 01100000 96  y: 01100000 217
x: 00000111 7  y: 00000111 156
x: 10011100 156  y: 10011100 84
x: 01000111 71  y: 01000111 182
x: 10000110 134  y: 10000110 99
x: 11001101 205  y: 11001101 15
x: 11011011 219  y: 11011011 189
x: 00011000 24  y: 00011000 227
x: 10000110 134  y: 10000110 151
x: 10101011 171  y: 10101011 37
x: 00010101 21  y: 00010101 108
x: 01011111 95  y: 01011111 139
x: 01101001 105  y: 01101001 13
x: 01011111 95  y: 01011111 160
x: 11100110 230  y: 11100110 172
x: 00011001 25  y: 00011001 27
x: 11101010 234  y: 11101010 164
